childgender,childage,enrolled,momage,mauza,momeduc,schoolpresent7,birth_tehsil,child_edu_time
2,12,1,39,331510308003,1,1,3315,60
2,5,0,39,331510308003,1,1,3315,0
2,11,1,39,331510308003,1,1,3315,90
2,6,0,39,331510308003,1,1,3315,0
1,10,1,39,331510308003,1,1,3315,90
2,6,1,26,331510308003,1,1,3331,180
2,8,1,26,331510308003,1,1,3331,240
2,13,1,52,331510308003,0,0,3331,240
2,7,1,52,331510308003,0,0,3331,90
2,11,1,52,331510308003,0,0,3331,180
1,9,1,52,331510308003,0,0,3331,90
2,14,1,32,331510308003,1,1,3333,180
1,11,1,32,331510308003,1,1,3333,150
2,13,1,32,331510308003,1,1,3333,210
1,8,1,32,331510308003,1,1,3333,150
2,6,1,32,331510308003,1,1,3333,150
2,5,0,37,331410604003,0,0,3314,0
1,8,1,37,331410604003,0,0,3314,150
1,10,1,37,331410604003,0,0,3314,150
2,14,1,37,331410604003,0,0,3314,180
2,12,1,37,331410604003,0,0,3314,180
2,10,1,35,313410603004,0,0,3134,180
1,5,1,35,313410603004,0,0,3134,120
1,7,1,35,313410603004,0,0,3134,120
1,13,1,49,313410603004,0,0,3134,60
1,11,1,49,313410603004,0,0,3134,60
1,15,1,50,313410603004,0,0,3462,90
2,13,0,40,313410603004,0,0,3133,0
1,11,1,40,313410603004,0,0,3133,60
2,10,1,32,313410603004,1,1,3134,150
1,5,1,32,313410603004,1,1,3134,90
2,7,1,32,313410603004,1,1,3134,150
2,12,1,50,313410603004,1,0,3134,120
2,9,1,50,313410603004,1,0,3134,90
2,6,0,30,313410603004,1,0,3133,0
1,5,1,30,313410603004,1,0,3133,30
1,5,1,30,313410603004,1,0,3133,0
2,7,1,30,313410603004,1,0,3133,120
2,14,0,35,313410603004,1,1,3134,0
1,12,1,35,313410603004,1,1,3134,0
1,9,1,35,313410603004,1,1,3134,0
1,8,0,35,313410603004,1,1,3134,0
2,10,1,35,313410603004,1,1,3134,120
1,5,0,35,313410603004,0,0,3134,0
2,8,0,35,313410603004,0,0,3134,0
2,9,0,50,313410603004,0,0,3134,0
1,14,1,45,313410603004,0,0,3134,60
2,6,0,45,313410603004,0,0,3134,0
2,11,0,45,313410603004,0,0,3134,0
2,8,0,54,313410304001,0,0,3112,180
1,12,1,54,313410304001,0,0,3112,240
1,14,1,54,313410304001,0,0,3112,120
2,11,1,43,313410304001,0,1,3133,120
1,14,1,43,313410304001,0,1,3133,180
2,9,1,29,313410304001,0,1,3544,90
2,5,1,29,313410304001,0,1,3544,90
1,7,0,29,313410304001,0,1,3544,90
2,14,1,43,313410304001,0,0,3662,360
1,8,1,43,313410304001,0,0,3662,150
1,12,1,43,313410304001,0,0,3662,240
2,5,0,50,313410304001,0,0,3133,0
2,14,0,50,313410304001,0,0,3133,0
1,12,1,50,313410304001,0,0,3133,30
1,13,1,50,313410304001,0,0,3133,150
1,15,1,34,313410304001,0,1,3134,180
