age,salary,hours,weeks,educ,immigrant,test_score
31,9000,35,52,12,1,-1.2176024
31,36000,50,52,18,0,.42977712
31,21000,40,52,12,1,.30611557
31,15600,60,43,17,0,-.013504858
32,27000,40,52,16,1,1.2134264
32,10000,40,52,12,1,-.93307316
32,25500,40,52,16,0,.73111057
32,28000,60,52,13,0,.82086551
32,15200,40,52,12,1,-.010682514
32,50000,40,52,13,0,-.37493068
32,5800,70,52,12,1,-1.4764599
32,24000,45,52,16,1,.68180239
32,12000,40,52,12,0,-.49495322
32,40000,40,52,12,0,1.1009443
32,9000,40,52,12,1,-.86592215
32,13000,40,40,12,0,-.96310943
32,28200,60,52,12,0,-.67157948
32,6500,40,52,12,0,-.86393821
32,27000,40,50,16,0,.66655028
32,7000,20,26,16,0,.39265519
32,67000,45,52,16,1,-.027325997
32,35000,50,52,15,0,1.08699
32,30000,50,52,12,1,-.49698231
32,21000,37,52,13,1,1.1680635
32,19500,70,52,12,1,-1.2447114
32,36000,40,52,16,1,1.7218692
33,10000,35,52,14,1,.96867186
33,24500,45,44,13,0,-1.4432206
33,28000,40,52,14,0,.39075944
33,7000,25,43,12,1,-.45426098
33,10080,40,36,15,1,.24577007
33,30000,36,52,15,1,-.5285973
33,32000,30,52,14,1,-.4802286
33,50000,50,52,15,0,-.3984814
33,25400,35,52,16,1,-.8955245
33,11300,40,50,4,1,-.31788975
33,10657,8,40,13,1,.93307936
33,40000,52,52,13,0,.78419679
33,40000,50,51,17,0,.051582191
33,13316,40,52,12,1,-.36130118
33,25000,40,52,13,1,.019148467
33,40000,40,52,15,0,.89247072
33,7960,40,49,12,1,-1.4765275
33,55000,45,52,17,1,2.1387346
33,40000,50,52,14,0,-.23344894
33,10250,40,27,12,0,-.79433739
33,22178,40,52,11,0,.86769724
33,14400,16,52,13,1,1.841323
33,26000,40,52,14,1,.86908239
33,998,30,12,12,1,.10759503
33,14500,40,52,12,0,-.91900057
33,20000,40,52,7,0,.43938625
33,25000,40,52,12,1,-.40781114
33,77000,45,52,16,1,1.5782772
33,3000,40,50,12,1,.59492636
33,37500,40,52,13,1,.62060642
33,36000,46,52,13,0,-1.2716194
33,14820,43,52,8,1,-.3693133
33,4482,20,20,12,1,-1.1022393
33,36000,50,52,16,0,-.65393114
33,15000,30,52,17,1,1.127175
33,10000,40,16,16,1,1.2828375
34,33000,40,52,12,1,-.78376275
34,26000,45,52,14,1,-.81171346
34,2220,17,18,13,1,-1.0600103
34,20000,45,32,12,0,.36098027
34,34000,40,52,18,1,.27602497
34,19160,40,52,13,0,.65940154
34,8192,36,52,13,1,-1.3629118
34,75000,55,52,16,0,.76558399
34,8000,24,36,16,1,-1.4038244
34,12480,40,52,12,0,.44692218
34,12960,40,52,13,0,-1.7931248
34,700,3,12,16,1,1.6847119
34,33750,40,52,12,0,.7211799
34,27000,40,52,15,1,-.66401583
34,17000,44,48,16,1,-1.2294656
34,26500,50,52,13,0,-.84292173
35,21840,40,52,13,1,.41266108
35,14200,32,52,16,1,-.58275247
35,6000,35,52,12,1,.84308225
35,25000,40,52,14,1,-1.2558393
35,33000,40,52,17,0,-.26154116
35,67000,40,52,16,1,1.4476377
35,2000,20,35,13,1,-1.5983052
35,12000,30,48,13,1,.069334649
35,26441,40,52,12,0,.20826636
35,5000,20,30,15,1,-1.5268109
35,45000,35,52,13,1,1.3800472
35,4000,16,35,15,1,-.98553932
35,7000,30,52,6,1,-.20583053
35,48000,45,52,16,1,.32665038
35,2970,76,52,14,0,-1.2474705
35,26000,40,52,12,0,1.2393126
35,25000,40,52,12,0,.75523603
35,38000,40,48,13,0,.87127084
35,15000,35,52,12,1,.96155769
35,2000,40,45,12,0,.36123064
35,26000,65,24,12,0,.98675615
35,23920,40,52,12,0,-.49474123
35,7100,50,8,12,1,.27181253
35,36000,40,52,13,1,1.8340265
35,14975,55,52,12,0,-.58356917
35,8320,35,52,12,0,-.92795134
35,25025,36,52,13,0,.54530048
35,8500,24,52,12,1,-.14856547
35,12000,40,40,10,0,-.45718086
35,28000,45,52,10,0,.056656688
36,13228,40,51,12,1,-1.3464363
36,32000,30,26,16,1,1.0831676
36,23000,35,52,10,1,.43177739
36,3990,36,52,9,1,-1.9195011
36,21300,40,52,10,0,-1.3290159
36,17000,40,52,16,1,1.1709818
36,30000,52,52,15,0,-.04155042
36,12500,40,52,12,1,-.21323483
36,50000,50,52,16,0,1.446798
36,28080,40,52,12,0,-1.136241
36,26000,40,52,16,1,.16927448
36,72000,45,52,16,0,.54544502
36,9126,40,46,13,0,-1.8639028
36,12017,40,44,12,0,.63555032
36,19500,30,52,14,1,-.87362939
36,16000,30,52,13,1,-.39045894
36,37000,40,52,16,1,1.8188583
36,7905,60,52,15,1,-2.000303
36,45000,50,52,13,0,1.4448519
36,57400,50,52,15,0,1.6076617
36,42000,55,52,13,0,-.69127184
37,31297,50,52,17,1,.14670455
37,56000,40,52,12,0,1.6394633
37,10000,35,52,13,1,.066663511
37,24000,40,52,12,0,.21032579
37,21000,40,40,8,1,-.71387166
37,28000,40,52,16,1,1.1568741
37,9680,20,52,17,0,-.30513027
37,14580,40,52,12,0,.017133767
37,21440,44,52,7,0,-1.5697258
37,42000,50,52,12,0,.82452345
37,65000,50,52,12,0,-.53355008
37,14622,27,52,12,1,-.41391569
37,26115,40,50,12,0,.26753256
37,47000,45,52,12,0,.33769843
37,85000,40,52,18,0,.15154332
37,4066,25,32,10,0,-.37913367
37,20000,40,52,12,1,-1.362901
37,10000,40,46,6,0,-.5447073
37,16000,40,50,13,0,.17496541
37,85000,55,52,18,0,1.5229948
37,18000,40,52,13,1,.5213241
37,27000,30,52,17,1,1.0138173
38,14500,55,52,16,1,-.74590206
38,45000,45,52,16,0,1.1319724
38,15000,28,52,16,1,-.14774342
38,10500,40,42,13,1,.73363566
38,35000,40,52,12,0,.25090995
38,8000,27,52,12,1,-.48519307
38,19968,40,44,13,0,.62941414
38,42000,38,52,16,1,.82526249
38,96000,60,52,18,0,1.664377
38,7000,40,52,12,1,-1.4268806
38,32000,50,52,16,1,.56151402
38,24000,30,52,12,0,-.88262969
38,13000,50,52,13,0,.68880403
38,34000,40,52,13,1,.12579314
38,5000,65,52,16,1,-2.0725489
38,29000,40,52,13,0,.87831938
38,12827,40,52,12,1,-1.2464603
38,16500,40,52,12,0,-1.6555411
38,11500,40,52,12,1,-1.2174666
38,22000,40,52,13,1,-.82800829
38,111000,60,52,16,0,.95339847
38,28800,40,52,16,0,-.49296367
38,13000,35,48,12,0,-.94346488
38,10000,40,52,15,1,-1.5362018
38,44900,50,52,11,0,-.98320317
38,25000,58,52,13,1,-1.1232915
38,27000,38,52,16,1,.71879464
38,19000,28,52,13,1,-1.2185372
38,24000,40,52,14,1,.23856774
39,3000,18,30,13,1,-.96119344
39,33000,40,52,16,0,-.32956994
39,28000,40,20,14,0,1.9844891
39,13000,70,52,13,1,-1.1355718
39,44299,40,52,16,0,1.620645
39,16200,40,52,12,0,-1.5043529
39,19800,40,52,12,0,-.090411469
39,15000,40,51,12,0,-1.5707175
39,27000,40,52,13,1,-.36421043
39,38000,40,52,17,0,-.62243432
39,30000,48,52,14,0,1.1133183
39,8400,40,30,5,0,.57786947
39,6500,40,52,12,1,-.13849886
39,31000,56,52,14,0,-.32647294
39,38401,40,52,18,0,-.84118348
39,12000,40,48,12,0,.09611401
39,28080,40,52,12,0,-.55724329
39,40000,24,52,14,1,1.566605
39,20000,40,52,15,0,.51866096
39,7800,35,26,9,0,-.69948632
40,20000,40,52,16,0,-.25162381
40,22500,45,30,17,0,.65417129
40,32000,40,52,12,0,.19274132
40,28000,48,52,13,0,.49139184
40,3500,40,34,8,0,.57909375
40,43000,40,52,14,0,1.3748018
40,31000,40,52,13,0,-.9171806
40,800,10,52,13,1,-1.41031
40,30000,40,52,13,0,.57536334
40,40232,40,52,16,0,-.41325408
40,40000,40,52,13,1,.57654351
40,45000,40,52,15,1,2.0530345
40,35000,50,52,16,0,1.1110817
40,35000,70,52,12,0,-.96843964
40,14000,40,52,12,1,.42835304
40,32400,45,52,16,0,.081738167
40,16000,40,52,12,1,.53302258
40,4200,14,52,12,1,-.47091445
40,31000,54,52,16,0,.10069188
40,19500,55,51,12,0,-.84355372
40,28000,43,52,13,0,.050399438
40,25000,40,52,16,1,1.3172339
40,5000,35,16,12,1,.5996322
40,15700,40,52,12,1,-.30820447
41,200,5,3,12,1,-.0035765402
41,2800,22,26,17,1,-.37622744
41,40500,50,52,13,0,-.41158158
41,38000,40,52,16,1,1.6018066
41,20000,40,52,8,0,-.21822415
41,18000,40,43,6,0,-1.5825375
41,23400,17,52,15,1,1.2017016
41,99999,60,52,16,0,1.3603637
41,28000,40,52,14,0,.84250844
41,30000,70,40,12,1,.37690473
41,2000,20,52,9,1,-1.7537137
41,70800,60,52,16,0,1.8971161
41,23500,40,52,12,1,.84222579
41,31000,35,52,13,1,.56164348
41,39000,43,52,12,0,.62519073
41,65000,72,52,16,0,-.57533216
41,19000,45,52,15,1,.24762732
41,61000,60,52,12,0,.69144034
41,5000,20,30,13,1,-.23831157
41,18000,50,52,12,0,.44177562
41,32000,40,52,13,1,1.0339957
41,5200,35,52,12,1,.11368214
41,10000,30,52,12,1,-.62568521
41,40000,40,40,17,1,.61608559
41,58000,40,52,12,0,1.5513959
42,40000,45,52,12,0,1.5429461
42,67500,50,52,19,0,1.6788669
42,2500,48,5,15,0,.93958181
42,10000,30,52,13,0,-.24193682
42,24000,40,52,13,0,1.1222818
42,20000,35,52,5,1,-.50429738
42,39000,40,52,17,0,1.125542
42,29000,50,52,14,1,-1.1060053
42,13140,40,17,12,0,1.4600872
42,35000,36,52,16,1,.13236614
42,12792,40,52,13,0,-1.1031113
42,32600,56,50,12,1,.93264532
42,18000,40,52,12,0,-.98357058
42,82000,45,52,16,0,1.7353141
42,99999,70,52,16,0,-.071996763
42,19840,40,52,13,0,-1.0911324
42,7020,40,43,5,0,-.6557554
42,40000,45,52,16,0,1.2867091
42,12000,40,52,12,1,-1.6650363
42,40000,40,52,17,1,-.39584747
42,75000,40,50,14,0,1.3817494
42,71000,40,52,17,0,1.6864486
43,7800,30,52,15,1,-.32720011
43,60000,40,52,16,0,1.4568872
43,35000,55,52,13,0,-.8799659
43,25000,48,52,12,0,-1.0108334
43,21000,40,52,17,1,-.95155108
43,60000,50,52,13,0,.12213735
43,8320,40,52,12,1,-1.7989486
43,8000,40,36,12,1,-.16641708
43,41600,40,52,16,0,-.44229925
43,13000,26,52,17,1,.75865072
43,38000,40,52,16,0,-.70056045
43,44000,40,52,14,1,1.8826232
43,35000,50,35,16,1,1.7057865
43,45000,40,52,14,0,.17595889
43,99999,50,52,18,0,.52234209
43,19000,55,52,12,0,.38914886
43,23000,40,52,12,1,-1.1863772
43,24000,50,52,12,1,-.83443201
43,14000,25,52,13,1,-.82871312
43,51130,40,52,16,0,-.22737515
43,28500,40,46,12,1,.3211244
43,18832,40,52,13,1,-.77962792
43,1200,40,21,12,1,-2.0626259
43,73810,40,52,18,0,2.1624384
43,30000,40,52,12,0,-.039077375
43,42000,55,52,13,0,-.038660754
44,57000,50,52,16,0,.11219483
44,7200,80,32,10,1,.31329209
44,28000,40,52,13,1,-.045192238
44,16800,40,52,12,0,-1.3759638
44,25130,40,50,14,1,-.68183947
44,5000,20,51,16,1,.17569563
44,6000,45,52,15,1,-1.019964
44,28000,38,52,12,1,-.95730031
44,18000,35,52,13,1,.46926218
44,15000,36,52,16,1,-.31070507
44,1650,15,22,16,1,-1.1803403
44,36000,40,52,13,0,.52005768
44,60000,70,52,13,0,.69276804
44,10000,20,38,12,1,-.2800363
44,30000,40,52,16,1,-.04745622
44,36732,50,52,13,0,-1.1238645
