age,black,hispanic,income,single,married,yrs_educ,urban,male
20,0,0,761.6507,1,0,14,0,1
22,0,0,1024.42,1,0,12,0,1
22,0,0,849.24042,0,1,8,0,1
22,0,0,931.11774,0,1,12,0,0
21,0,0,666.44421,0,1,12,0,1
20,0,0,668.34857,0,1,12,0,0
18,0,0,521.73071,1,0,11,0,0
19,1,0,1216.7372,1,0,12,0,0
19,0,0,685.4856,0,1,12,0,0
19,0,0,1485.219,0,1,12,0,1
19,1,0,693.10205,1,0,11,0,1
20,0,0,784.50012,0,1,12,0,1
19,0,0,1730.851,1,0,13,0,0
20,0,0,952.06335,1,0,12,0,1
17,0,1,898.74786,1,0,8,0,1
20,1,0,656.92371,1,0,12,0,1
20,1,0,845.43231,1,0,12,0,0
22,0,0,814.96606,1,0,16,0,0
22,0,0,835.9115,1,0,16,1,0
22,0,0,1056.7904,1,0,12,1,1
21,0,0,952.06335,0,1,14,1,1
19,0,0,632.16992,0,1,12,1,0
16,0,0,845.43231,1,0,9,1,1
18,0,0,550.29254,0,1,8,1,0
20,0,0,1237.6825,0,1,9,1,1
18,0,0,999.66638,0,1,9,1,1
18,0,0,736.89691,1,0,12,1,0
21,0,0,666.44421,0,1,14,1,1
17,0,0,599.7998,1,0,12,1,1
23,0,0,761.6507,1,0,13,1,0
23,0,0,904.46014,0,1,15,1,1
19,0,0,813.06219,1,0,12,1,1
23,0,0,727.37646,1,0,13,1,0
19,1,0,856.85706,1,0,12,1,1
20,1,0,832.10327,1,0,9,1,1
18,1,0,712.14337,1,0,9,1,0
17,1,0,792.11676,1,0,10,1,1
21,1,0,590.27924,1,0,9,1,1
17,0,0,714.04755,1,0,10,1,1
22,0,0,729.28033,0,1,12,1,0
21,0,0,628.36182,1,0,13,1,0
18,0,0,1028.2284,0,1,10,1,1
22,0,0,1142.4761,1,0,12,1,1
19,0,0,776.88367,1,0,11,1,1
23,0,0,952.06335,0,1,12,1,1
20,0,0,618.84125,1,0,12,1,1
21,0,0,1601.3701,1,0,12,1,1
17,0,0,476.03168,1,0,12,1,0
18,0,0,706.43097,1,0,12,1,1
23,0,0,1755.6047,0,1,13,1,1
20,0,0,594.08759,0,1,12,1,0
20,0,0,544.58032,1,0,12,0,1
21,0,0,561.71741,1,0,12,0,1
20,0,0,679.77307,1,0,12,0,1
20,0,0,955.8717,1,0,12,0,0
21,0,0,1028.2284,0,1,12,0,1
20,0,0,714.04755,0,1,11,0,1
21,0,0,571.23804,0,1,12,0,0
20,0,0,525.53894,0,1,12,0,0
20,0,0,990.146,0,1,12,0,1
19,0,0,519.82654,0,1,12,0,0
22,0,0,761.6507,1,0,12,1,1
19,0,0,733.08868,1,0,10,1,0
20,0,0,1332.8884,1,0,12,0,1
21,0,0,672.15662,1,0,11,0,0
22,0,0,1142.4761,1,0,15,1,1
19,0,0,594.08759,1,0,12,0,0
21,0,0,1273.8606,0,1,14,0,0
19,0,0,832.10327,0,1,12,0,0
20,0,0,590.27924,0,1,8,0,1
22,0,0,546.48419,0,1,12,0,0
21,0,0,1332.8884,0,1,8,0,1
22,0,0,380.82535,1,0,12,0,1
22,0,0,599.7998,1,0,12,0,0
19,0,0,571.23804,1,0,12,0,1
21,0,0,1106.2976,1,0,14,1,1
18,0,0,639.78644,1,0,12,0,1
23,0,0,780.69189,0,1,13,0,1
21,0,0,952.06335,0,1,12,0,1
20,0,0,858.76111,0,1,10,0,0
22,0,0,666.44421,0,1,12,0,1
21,0,0,837.8158,1,0,12,0,1
20,0,0,590.27924,1,0,12,0,0
22,0,0,1380.4917,1,0,12,1,0
19,0,0,634.07428,1,0,12,0,1
19,0,0,609.32056,1,0,12,0,0
19,0,0,666.44421,1,0,12,0,1
19,0,0,590.27924,1,0,12,0,0
19,0,0,476.03168,0,1,12,0,0
22,0,0,856.85706,0,1,14,1,1
21,0,0,971.10461,0,1,12,0,0
22,0,0,761.6507,1,0,12,1,0
18,0,0,613.12866,0,1,12,1,0
18,0,0,847.33649,1,0,12,0,1
19,0,0,590.27924,1,0,12,0,0
18,0,0,571.23804,1,0,12,0,1
19,0,0,542.67609,1,0,12,0,1
19,0,0,653.11542,0,1,12,0,0
17,0,0,1199.5996,0,1,11,0,1
20,0,0,830.19934,0,1,12,0,1
21,0,0,761.6507,1,0,12,0,1
22,0,0,1142.4761,1,0,16,1,1
21,0,0,1134.8595,0,1,12,0,1
22,0,1,961.58386,1,0,16,1,0
17,0,1,476.03168,1,0,9,1,0
22,0,1,571.23804,0,1,8,1,1
22,0,1,681.67749,1,0,12,1,0
21,0,1,609.32056,1,0,12,1,0
21,0,1,761.6507,0,1,4,1,1
17,0,1,590.27924,0,1,6,1,0
20,0,1,1332.8884,1,0,9,1,1
20,0,0,714.04755,1,0,12,1,0
20,0,0,664.54022,0,1,12,0,1
19,1,0,660.73187,1,0,9,0,1
19,1,0,1523.3014,0,1,12,0,1
21,0,0,761.6507,0,1,9,1,1
20,0,0,1047.2698,0,1,10,0,1
20,0,0,618.84125,0,1,12,0,0
21,1,0,618.84125,1,0,12,0,1
19,1,0,832.10327,1,0,12,0,1
18,1,0,696.91022,1,0,12,1,0
19,0,0,618.84125,1,0,12,0,0
22,0,0,813.06219,0,1,12,0,1
22,0,0,666.44421,0,1,13,0,0
21,0,0,1047.2698,1,0,12,0,1
20,0,0,618.84125,0,1,12,0,0
22,0,0,780.69189,0,1,9,0,1
22,1,0,973.00873,1,0,12,0,1
22,0,0,590.27924,0,1,12,1,0
20,1,0,599.7998,1,0,12,0,1
21,1,0,546.48419,1,0,12,0,1
19,1,0,858.76111,1,0,12,0,1
22,0,0,761.6507,0,1,14,0,1
19,0,0,832.10327,1,0,12,0,1
19,0,0,618.84125,1,0,12,1,0
20,0,0,1323.368,0,1,12,1,1
21,0,0,714.04755,1,0,12,1,0
21,0,0,1142.4761,1,0,13,1,1
21,0,0,1077.7355,1,0,14,1,0
19,0,0,746.41772,1,0,11,1,1
20,0,0,992.05011,1,0,14,1,0
19,0,0,666.44421,1,0,11,1,0
18,0,0,354.16754,1,0,12,1,1
21,0,0,856.85706,1,0,14,1,0
22,0,0,714.04755,1,0,12,1,0
20,0,0,1390.0127,1,0,12,1,0
19,0,0,626.45764,1,0,11,1,1
22,0,0,952.06335,1,0,12,1,0
19,0,1,689.2937,1,0,12,1,0
19,0,0,1359.5461,1,0,12,1,1
23,0,0,675.96509,1,0,16,1,1
19,0,0,761.6507,1,0,11,1,1
18,0,0,337.03046,1,0,7,1,0
20,1,0,618.84125,1,0,10,1,1
20,0,0,396.05838,1,0,12,1,1
20,0,0,594.08759,1,0,12,1,0
21,0,0,714.04755,0,1,12,0,1
21,0,0,714.04755,1,0,12,1,1
18,0,0,609.32056,1,0,12,1,1
19,0,0,675.96509,1,0,12,1,0
18,1,0,582.66278,1,0,12,1,0
22,1,0,814.96606,1,0,14,1,0
23,1,0,889.22723,1,0,14,1,0
18,0,0,411.29138,1,0,12,1,0
21,0,0,1195.7915,1,0,12,1,0
18,0,0,666.44421,1,0,12,1,1
20,0,1,723.56812,1,0,13,1,1
22,0,0,902.55591,1,0,12,1,0
21,0,0,1618.5077,1,0,12,1,1
19,0,0,666.44421,1,0,12,1,1
17,0,0,599.7998,1,0,12,1,0
18,0,0,630.26587,1,0,12,1,0
20,0,0,814.96606,0,1,8,1,1
21,0,0,1279.5729,0,1,12,1,1
20,0,0,904.46014,1,0,12,1,0
21,0,0,809.25385,0,1,12,1,0
22,0,0,1212.9285,1,0,12,1,1
22,0,0,1418.5743,1,0,16,1,1
22,1,0,780.69189,1,0,12,1,0
19,1,0,599.7998,1,0,10,1,0
22,1,0,666.44421,1,0,12,1,0
21,0,0,571.23804,0,1,12,0,0
21,0,0,835.9115,0,1,14,0,1
19,0,0,607.41638,1,0,12,0,0
23,0,0,466.51108,1,0,12,0,0
21,0,0,809.25385,0,1,13,1,0
19,0,0,1115.818,0,1,12,1,0
22,0,0,891.13141,0,1,12,1,1
18,0,0,590.27924,1,0,11,1,0
19,0,0,620.74512,1,0,12,0,0
19,0,0,1051.0779,1,0,12,1,0
20,0,0,664.54022,0,1,12,1,0
23,0,0,1713.7141,1,0,12,1,1
20,0,0,1079.6396,1,0,13,1,0
20,0,0,685.4856,1,0,11,1,0
20,0,0,742.6095,0,1,12,1,1
21,0,0,1142.4761,1,0,13,1,1
22,0,0,476.03168,1,0,12,1,1
18,0,0,637.88226,1,0,9,1,0
22,1,0,845.43231,1,0,12,1,0
19,1,0,879.70642,1,0,12,1,1
18,1,0,696.91022,1,0,12,1,0
20,0,0,1390.0127,1,0,12,1,1
21,0,0,1165.3256,1,0,8,1,1
20,0,0,1266.2439,1,0,12,1,1
22,0,0,708.33508,0,1,12,1,1
20,0,0,1308.135,1,0,12,1,1
22,0,0,786.40424,1,0,12,1,1
21,0,0,639.78644,1,0,12,1,0
20,0,0,685.4856,1,0,12,1,0
19,0,0,714.04755,1,0,12,1,1
20,0,0,982.52917,0,1,13,1,0
19,1,0,498.8812,1,0,9,1,1
21,0,1,816.87048,1,0,14,1,0
22,0,0,1487.1226,1,0,12,1,1
20,0,0,1209.1206,1,0,12,1,1
22,0,1,731.18463,1,0,16,1,0
21,0,0,647.40308,1,0,13,0,0
22,0,0,674.06091,0,1,12,1,0
18,0,0,666.44421,1,0,8,1,1
21,0,1,460.79871,1,0,12,1,0
22,1,0,1439.5195,1,0,15,1,1
18,1,0,1205.3121,1,0,11,1,1
19,0,0,891.13141,1,0,11,1,1
22,0,0,1801.3036,1,0,12,1,1
22,0,0,809.25385,1,0,12,1,1
20,0,0,1001.5706,1,0,13,1,0
20,0,0,666.44421,1,0,12,1,1
20,0,0,879.70642,1,0,14,1,0
20,0,0,580.75854,1,0,12,1,0
22,1,0,1056.7904,1,0,13,1,1
22,0,0,2441.0901,1,0,12,1,1
19,0,0,714.04755,1,0,12,1,1
22,0,0,1058.6945,0,1,12,1,0
22,0,0,1142.4761,1,0,16,1,1
18,0,0,839.71997,1,0,12,1,0
